recipe_id,title,category,ingredients_cleaned
3a23272f00324a3b9d638eca80c2d530,Pindang Ayam Jadul,ayam,"ayam , bawang merah halus , cabe rawit halus , jahe , lengkuas , kunyit , asam jawa , terasi bangka panggang , tomat potong , daun kemangi me"
cc985ebe33204e09a45d70f2e46f5831,Ayam Kacang Panjang Saos Hoisin,ayam,"daging , paha atas dada ayam , kecap asin , arak beras , tapioka , saos , kacang panjang , bawang putih cincang halus , jahe , saos hoisin , kecap asin , micin , air , larutan tapioka"
caa2a6dacb0540b3ba19391948629358,Tongseng Ayam,ayam,"daging ayam potong , santan kelapa pisahkan kental , daun jeruk , daun salam , lengkuas , serai geprek , cabe rawit hijau , batang daun bawang potong serong , tomat potong , kecap manis , kentang potong , kol tebal , garam , kaldu bubuk , gula pasir , bawang goreng taburan , minyak menumis , bumbu halus , bawang merah , bawang putih , jahe , kunyit , ketumbar , merica , kemiri , cabai merah"
6e588b7187b642828b3dff9032158e11,Ayam Penyet Sambel Kemangi,ayam,"dada ayam , daun kemangi , timun , bumbu racik tempe , sambel , cabe merah , cabe rawit , bamer , bawang putih , gula , garam , tomat merah , terasi , minyak utk , air utk mengungkep ayam"
053502705f5f4d63b01f49ade0bb27f7,Nugget Ayam Wortel,ayam,"daging ayam giling , wortel , bawang bombai , bawang putih , batang daun bawang , telur ayam , tepung terigu , tepung roti , garam , lada , penyedap ayam , minyak goreng"
cc871382257f42dd956aa943e470b5bd,Ayam Goreng Pedas Gila Ala Kfc,ayam,"ayam , tepung bumbu pedas pke sajiku , air es , minyak goreng"
028a783d68f04b9aaa29679fd65b3c7f,Chicken Teriyaki,ayam,"daging ayam memanjang , bawang bombai , memanjang , gula , garan , air , minyak menumis , bumbu perendam , saus teriyaki , saus tiram , kecap manis , minyak wijen , bawang putih , haluskan , jahe , haluskan , merica , kaldu bubuk"
71093b4107264cb4bf911a7963a6c1a1,Ayam Kecap Pedas Jeruk Limao,ayam,"ayam potong , daun salam , jahe , daun jeruk , buang tulangnya , jeruk limao , air perasn jeruk nipis , garam , merica , gula pasir , kaldu bubuk , kecap manis , air , bawang bombai , bumbu halus , bawang putih , bawang merah , cabe keriting merah , cabe rawit merah"
f8208f72a7f8446381c709ea29a4755f,Resep Ayam Kecap Rumahan,ayam,"ayam , bumbu haluskan , bawang putih , bawang merah , cabe rawit cabe merah , jahe , lada pala , lengkuas , kemiri"
4eca983d924f49e2b7d38aa67cea32d0,Sop Ayam Garang Asam,ayam,"ayam , serai , jahe , cabe rawit merah , bawang putih , bawang merah , tomat hijau , jeruk nipis , daun jeruk , daun bawang , garam , penyedap , air matang"
f8e468eb4c9c449581aa8b474d224192,Ayam Goreng Krutuk,ayam,"tepung terigu , air matang , ayam direbus , garam , gula penyedap , lada , telur ayam , minyak goreng"
8633979599174ede8958ec6cae23b950,Ayam Panggang Saos Kecap,ayam,"bumbu ayam panggang , ayam potong , bawang merah , ulek halus , bawang putih , ulek halus , kunyit , garam , ulek halus , olesan ayam , kecap manis , saus tomat , minyak , dicampur , saos kecap cocolan , kecap manis , bawang merah , melintang tebal , bawang putih , ulek halus , cabe rawit , ulek halus , tomat potong , jeruk nipis , arang memanggang ayam"
014608c5ba5d4d5aabd83f94284bb116,Soto Ayam Kuah Santan,ayam,"ayam diungkep , digoreng , santan kara , kunyit , jahe , lada , daun salam , lengkuas , daun jeruk serai , bawang merah , bawang putih , penyedap gula , garam royko ayam , pelengkap , tomat , daun bawang seledri , bihun rebus , bawang goreng , kol potong tipis , tahu goreng , kerupuk , bawang goreng , jeruk nipis , sambal cabe rawit , bawang putih merah rebus , diulek"
6e6f633f6f814d2f91dc31c2526b9454,Ayam Goreng Bumbu Kuning,ayam,"potong ayam , air , minyak goreng , bumbu halus , bawang putih , kunyit , jahe , ketumbar , garam"
c84d0f412e2948088da5ab9ff2394c53,Mie Geprek ( Mie + Ayam Geprek ),ayam,"mie burung dara , dada ayam , tepung terigu , kubis , bawang putih , kecap , royco sapi , garam , ebi , minyak wijen , saus tiram , lada , minyak goreng , air , cabe rawit , bawang merah"
3ab875d4e2e3410e877f9448446c41f2,Seblak Mie Tulang Ayam,ayam,"mie burung dara , tulang ayam sisa filet daging ny , sawi hijau , sawi putih , garam , gula , halus , bawang merah , bawang putih , cabe keritinh , cabe rawit , kencur"
e91a626bc871461f9ba00ed59e251d7e,Sweet Buffalo Chicken,ayam,"paha ayam potong , bumbu ayam , garam , lada , paprika bubuk , tepung terigu , bumbu saus , margarin unsalted , bawang putih bubuk , gula merah bubuk , saus tomat , saus sambal , garam , wijen"
9bb4a6042c804692a731049bf722b6d7,Ayam Garang Asem,ayam,"ayam , daun pisang , santan kara , jeruk nipis , bumbu rajang , cabai rawit , cabai merah , tomat hijau , bawang merah , bawang putih , tambahan , laos , jahe , daun jeruk , daun salam , serai , garam gulpas air minyak goreng"
4624383f98624927abba202f51221c54,Ayam Geprek,ayam,"fillet dada ayam khas , tepung bumbu kriuk , baham sambal , rawit merah , cabai merah keriting , bawang putih , garam , kaldu jamur"
d3b146c07e2e4154a4fcce7c0a6fcd1f,Ayam Asam Manis Rumahan Citarasa Resto,ayam,"dada ayam , potong dadu , paprika merah hijau , nanas , potong dadu , bawang bombai , bawang putih , geprek , minyak bawang utk menumis , air tepung sagu , perbandingan , saos asam manis , saos tomat , saos sambal , saos lea perrins , gula pasir , kaldu ayam , garam , kecap inggris , minyak wijen , maggie seasoning , saos raja , bumbu marinasi ayam , gula pasir , garam , kaldu ayam , merica"
aefe50ec6fc4441c80e735b6bf037075,Ayam Goreng Tepung Simple,ayam,"ayam dada potong , bawang putih haluskan , lada , kaldu bubuk , garam , telur , tepung , tepung terigu , tepung meizena"
b5185a645ba742cdb1fc583e1d243100,Sop Balungan Ayam,ayam,"tulang ayam jowo , rebus dg api , bumbu ulek , bawang putih , merica bubuk , pala , cengkeh , garam dg penggunaan air , kaldu jamur , gula , sayur , wortel , tipis , kentang , potong dadu , bonggol sawi , seledri daun bawang , pelengkap bawang merah goreng"
8e843f4e2d7749a992680ce4c6fda1de,Ayam Goreng Lepas Tulang Lembut,ayam,"ayam , bawang putih , laos , jahe , daun salam , serai , daun jeruk"
811f209555dd47989dd573a9cf761e9a,Sayap Goreng Bumbu Ngo Hiang,ayam,"sayap ayam drum stick , air jeruk nipis lemon , garam , bumbu ngo hiang , tetes suclarose stevia drop"
c3fb02bb51cb4bf686d598dc7bc70b62,Semur Ayam Kampung,ayam,"ayam kampung , bawang putih , bawang merah , kemiri , jahe , daun jeruk , daun salam , serai digeprek , lengkuas , kunyit , biji ketumbar , merica bubuk , garam , gula pasir , royco , kecap manis , air kaldu ayam kampung , minyak goreng"
46e9d2ad6245465eb2be1f7c74c95c71,Ayam Tepung Kfc Super Gurih,ayam,"potong ayam paha atas paha , air lemon , black papper , garam , tepung terigu serba , tepung maizena , oregano , garam , masako ayam , bubuk cabai , pencelup , tepung terigu , bubuk cabai , garam , lada putih , air es"
0b9dda15a9da4f45ba30eb9f7901faf9,Soto Ayam Surabaya,ayam,"ayam , bawang merah , bawang putih , ketumbar , lada , kunyit , lengkuas , jahe , kemiri , daun salam , daun jeruk , gula , garam , penyedap , daun bawang , kol , tauge , kentang , telur rebus , sambal rebus"
29b754d555b74828953d8f9868c4a483,Ayam Suwir Ala Bali / Ayam Sisit,ayam,"fillet ayam kulit , minyak wijen , kecap ikan , saos tiram , unsalted butter menumis , bumbu dihaluskan , bawang merah , bawang putih , kencur , kunyit , rawit merah , udang rebon , garam"
58ed997ca3c34e24b01a3f19a499a188,Risoles Rogut Ayam,ayam,"isian , kentang , kukus tumbuk halus , wortel , diserut kasar , dada ayam rebus , suwir halus , tepung terigu , lada , garam , susu cair , bawang putih , haluskan , keju cheddar parut , minyak goreng , kulit , tepung terigu , margarine , dicairkan , telur , garam , air , tepung panir membalur"
29e2545fb3c342ba81816609eae7dfaa,Ayam Masak Kicap Ala Malay,ayam,"potong ayam , bawang bombai , cabai keriting merah , cabai rawit , cabai lalap , tomato , kecap , saos sambal , saos tiram , kunyit , garam , kaldu bubuk totole ganti kaldu bubul"
1dc0094dcd0947aca59a7c22f5a4126e,Ayam Tepung,ayam,"ayam , tepung terigu , royco , bawang putih , lada , jahe , kunyit , garam , minyak goreng , telur ayam ambil putih nya"
